run	unique_id	numcells	birthrate	deathrate	mutprob	initialtime	subclone_count	num_mut	num_drivers	is_driver
1	a3.a>22>32>52>54>80>122>128>248>250>266>332	0	1.151438465509	1.000000000000	1.000000000000	15.360155647831	0	11	7	0
1	a3.a>22>32>52>54>80>166>182>210>244	0	1.121461642325	1.000000000000	1.000000000000	13.730142710214	4	9	5	0
1	a3.a>22>32>52>54>80>122>136>176>212>274>288>322	0	1.132773842194	1.000000000000	1.000000000000	15.207113484342	0	12	7	1
1	a1.a>68>78>106>110>124>134>150>200>230>310>344>360	0	1.027751107149	1.000000000000	1.000000000000	15.752514624568	1	12	7	1
1	a3.a>22>32>52>54>80>122>128>130>272>276>278>300	0	1.162703413190	1.000000000000	1.000000000000	14.889424549715	2	12	7	1
1	a3.a>358	0	1.101451573447	1.000000000000	1.000000000000	15.734166066141	0	1	1	1
1	a3.a>22>32>52>54>80>122>128>284	0	1.121126538031	1.000000000000	1.000000000000	14.713349703063	2	8	5	1
1	a3.a>22>32>52>54>80>122>136>176>212>274>308>362	0	1.133597736841	1.000000000000	1.000000000000	15.794686189912	0	12	7	0
1	a3.a>22>32>52>54>80>122>136>176>212>274>308	0	1.134532797154	1.000000000000	1.000000000000	14.994829652623	1	11	7	1
1	a3.a>22>32>52>54>80>166>182>210>244>314	0	1.127749073395	1.000000000000	1.000000000000	15.099961546306	1	10	6	1
1	a1.a>68>78>106>110>124>134>150>200>230>310>344>370	0	1.024922802948	1.000000000000	1.000000000000	15.904911288990	0	12	7	1
1	a3.a>22>32>52>54>80>122>128>220>236>240>292	0	1.088920375922	1.000000000000	1.000000000000	14.835837559068	1	11	5	0
1	a3.a>22>32>52>54>80>166>182>210>244>338	0	1.128407646817	1.000000000000	1.000000000000	15.405722708308	2	10	6	1
1	a3.a>22>32>52>54>80>122>128>130>272>276>278>300>354	0	1.149113384723	1.000000000000	1.000000000000	15.600722064380	1	13	7	0
1	a3.a>22>32>52>54>80>122>136>176>212>246>270>326>366	0	1.115001601088	1.000000000000	1.000000000000	15.802807225752	0	13	7	1
